HotelName,Location,Price,Rating,DistanceFromCenter,RoomType,OriginalPrice,PricePerNight,Discount
Hyatt Place Dubai Wasl District Residences,Deira,912.0,8.1,9.3,Studio with Kitchen,1140.0,228.0,20.0
Taj Jumeirah Lakes Towers,Jumeirah Lakes Towers,1407.0,8.9,17.5,Superior Room king bed,1407.0,351.75,0.0
La Suite Dubai Hotel & Apartments,Al Sufouh,656.0,8.7,13.6,"Deluxe Room – Complimentary Transfer to Mall of the Emirates, Insurance Market Metro Station & Jumeirah Beach",937.0,164.0,29.99
One bed apartment at a great location in Dubai Marina,Dubai Marina,767.0,9.7,18.0,One-Bedroom Apartment,767.0,191.75,0.0
Golden Sands Boutique Hotel-Dubai Creek,Deira,1381.0,9.3,8.5,Deluxe King Room,1381.0,345.25,0.0
Novotel Suites Mall Avenue Dubai,Al Barsha,644.0,8.1,11.7,Suite Room,644.0,161.0,0.0
Flora Inn Hotel Dubai Airport,Garhoud,602.0,8.1,9.5,Superior Room - Complimentary Transfer to the Beach,1095.0,150.5,45.02
Delta Hotels by Marriott Dubai Investment Park,Dubai Investment Park,566.0,8.6,23.8,Standard King Room with Shuttle Bus to JBR Beach and various shopping malls,566.0,141.5,0.0
Knokey Aykon City,Business Bay,738.0,8.7,2.6,One-Bedroom Apartment,738.0,184.5,0.0
W Dubai - Mina Seyahi,Dubai Marina,2123.0,8.8,17.1,Fantastic King - Sea View with Balcony,2123.0,530.75,0.0
Conrad Dubai,Trade Centre,1561.0,8.8,3.6,Deluxe Double Room with two Double Beds and Skyline View,1561.0,390.25,0.0
InterContinental Dubai Marina by IHG,Dubai Marina,1701.0,8.9,18.8,Classic King Room,2268.0,425.25,25.0
Comfy 1-Bedroom Apartment at Blue Wave - Liwan,Dubai,646.0,8.9,15.2,One-Bedroom Apartment,646.0,161.5,0.0
Elegant 2BR in Address Dubai Opera - 1 min walk from Burj Khalifa and Dubai Mall,Dubai,2247.0,8.9,250.0,Two-Bedroom Apartment,2809.0,561.75,20.01
Premier Inn Dubai International Airport,Garhoud,355.0,8.5,10.2,New Style Double Room -Smoking- Free DXB Airport Shuttle Every 30min to T1&3,355.0,88.75,0.0
Pullman Dubai Downtown,Business Bay,1178.0,8.4,0.9,Superior King Room,1178.0,294.5,0.0
"The First Collection Dubai Jumeirah Village Circle, a Tribute Portfolio Hotel",Dubai,992.0,8.7,17.1,Classic Twin Room,992.0,248.0,0.0
"Hilton Garden Inn Dubai, Mall Avenue",Al Barsha,867.0,8.4,11.7,King Room - Mobility Accessible,867.0,216.75,0.0
Luxe Getaways Royal Amwaj Palm Jumeirah Resort Apartment Holiday Home,Palm Jumeirah,1081.0,8.8,14.1,Studio Apartment,1081.0,270.25,0.0
Hyatt Place Dubai Wasl District,Deira,1183.0,8.3,9.4,King Room with Sofa Bed,1183.0,295.75,0.0
Al Bandar Rotana – Dubai Creek,Deira,1249.0,9.0,8.5,City View Room - King Bed,1249.0,312.25,0.0
DoubleTree by Hilton Dubai - Business Bay,Business Bay,1475.0,9.1,1.2,Double Room with Two Double Beds,1475.0,368.75,0.0
DRAGON PALACe,Dubai,368.0,9.1,9.4,One-Bedroom Apartment,460.0,92.0,20.0
"Luxury 2BR Apartment, Address Dubai Opera, Full Burj Khalifa View",Downtown Dubai,1397.0,9.1,250.0,One-Bedroom Apartment,1552.0,349.25,9.99
Al Habtoor Palace - Preferred Hotels & Resorts,Business Bay,1282.0,9.0,2.3,King Bed Deluxe Room,1282.0,320.5,0.0
Rose Rayhaan by Rotana - Dubai,Trade Centre,1432.0,8.6,1.9,Guest Room – King or Twin Beds,1432.0,358.0,0.0
Millennium Airport Hotel Dubai,Garhoud,831.0,8.4,9.3,"Deluxe Twin Room, complimentary shuttle to DXB Airport Terminal 1 & 3",831.0,207.75,0.0
Grand Plaza Mövenpick,Dubai Internet City,1432.0,9.2,15.3,Superior Room,1432.0,358.0,0.0
Grand Hyatt Dubai,Bur Dubai,1666.0,8.7,6.7,King Room,1666.0,416.5,0.0
"Beachfront 2BR and Assistant's Room with Sea Views Terrace, Steps From Iconic Landmarks & Amenities, The Residences South, Palm Jumeirah by Deluxe Holiday Homes",Palm Jumeirah,3036.0,8.7,16.4,Three-Bedroom Apartment,3036.0,759.0,0.0
Frank Porter - Cayan Tower,Dubai Marina,2963.0,8.7,17.6,Apartment,2963.0,740.75,0.0
Radiance Premium Suites,Al Barsha,732.0,8.5,12.2,One-Bedroom Apartment,732.0,183.0,0.0
Millennium Place Barsha Heights Hotel,Barsha Heights (Tecom),801.0,8.1,15.0,Superior King Room,801.0,200.25,0.0
